id,smiles
1015805,CC1=CC(N(c2c1cc(cc2)OC)S(=O)(=O)c3ccc(cc3)NC(=O)C)(C)C
1017311,c1ccc(cc1)C(=O)N2CCN(CC2)c3ccc(cc3)NCc4ccc5c(c4)OCO5
1017506,CN1CCN(CC1)c2ccc(cc2)NC(=O)c3ccc(o3)c4ccc(cc4)Br
1037842,Cc1ccc(cc1)c2csc(c2C(=O)O)NC(=O)c3cccc(c3)C
1048482,CS(=O)(=O)N1CCN(CC1)c2ccc(cc2)NC(=O)c3ccc(o3)[N+](=O)[O-]
10669105,c1ccc2c(c1)ccc[n+]2CC(=O)c3ccc(cc3)Br
1075906,c1ccc2c(c1)cc(c(=O)o2)c3csc(n3)Nc4ccc(cc4)N
1077454,Cc1cccn2c1nc3c(c2=O)cc(c(=N)n3CCCN4CCOCC4)C#N
1077464,c1ccc(cc1)CCNC(=O)c2cc3c(nc4ccccn4c3=O)n(c2=N)CCCN5CCOCC5
1077531,c1ccn2c(c1)nc3c(c2=O)cc(c(=N)n3C4CCCCC4)C(=O)NC5CCCC5
1077536,c1ccn2c(c1)nc3c(c2=O)cc(c(=N)n3C4CCCC4)C(=O)NCc5ccco5
1080132,Cc1ccc(cc1)NC(=O)c2cc(ccc2N3CCOCC3)N4C(=O)C=CC4=O
1081542,Cc1cc(no1)NC(=O)CSc2[nH]c(c(c(=O)n2)C#N)c3ccccc3
10860295,CNc1ccc2c(c1)[n+](c3ccccc3n2)C
1086050,CN1CCN(CC1)c2ccc(cc2)NC(=O)c3c(c4ccccc4s3)Cl
1086059,CN1CCN(CC1)c2ccc(cc2)NC(=O)COc3ccccc3Cl
1087128,CC(C)C(=O)N1CCN(CC1)c2ccc(cc2)NC(=O)c3ccc(o3)[N+](=O)[O-]
1087209,c1cc2c(cc1NCc3ccncc3)OCO2
1088361,CC(C)C(=O)N1CCN(CC1)c2ccc(cc2Cl)NC(=O)c3ccc(o3)[N+](=O)[O-]
1088818,c1cc(oc1)C(=O)N2CCN(CC2)c3ccc(cc3)NC(=O)COc4ccc(cc4)Cl
1088819,Cc1cccc(c1)OCC(=O)Nc2ccc(cc2)N3CCN(CC3)C(=O)c4ccco4
109673,Cc1cc(ccc1N2CCCC2)N
1101639,CCOc1ccc2c(c1)C(=CC(N2S(=O)(=O)c3ccc(cc3)NC(=O)C)(C)C)C
1105480,CC1(c2c(c(=S)n(s2)c3ccc(c(c3)OC)OC)-c4cc(ccc4N1)OC)C
