id,smiles
243890,CCOC(=O)C1=CC=CC=C1C#N
2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3
2520,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
5070,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N
110635,CN1CC(=O)N2[C@@H](C1=O)CC3=C([C@H]2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36
5144,C=CCC1=CC2=C(C=C1)OCO2
638024,C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3
193628,C=CC(=O)NCCO
2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
2478,CS(=O)(=O)OCCCCOS(=O)(=O)C
2955,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
7416,C1=CC=C(C=C1)[N+](=O)[O-]
3672,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
12884174,CCOC(=O)N1CCC(=C2C3=CC=CC=C3CCC4=C2N=CC=C4)CC1
